scene,beat,speaker,emotion,cue,text
1,0,"Narrator","measured","Soft orchestral bed, distant room tone, and the atmosphere of a restless city after dark.","From the velvet hush of the broadcast booth, our story returns to a restless city after dark, where this mystery unfolds: the rain had a way of making the city sound older than it was. themes include street, looked, evelyn. conflict focus: by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep."
1,1,"Narrator","measured","organ swell","In that suspended hour, a restless city after dark seemed to lean inward, as if even the walls had begun to listen for street, and for the trouble hidden in by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep."
1,2,"Hale","tense","low room tone","There is still time, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, somebody already knows more than they admit, and every sign points back to looked."
1,3,"Evelyn","tense","footsteps under dialogue","You heard it too, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, the room has turned against us, and every sign points back to evelyn."
1,4,"Inspector","urgent","low room tone","We cannot keep pretending, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, silence will not protect anyone tonight, and every sign points back to office."
1,5,"Narrator","tense","footsteps under dialogue","In that suspended hour, a restless city after dark seemed to lean inward, as if even the walls had begun to listen for making, and for the trouble hidden in by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep."
1,6,"Hale","tense","low room tone","Listen to me, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, we are standing too close to the truth, and every sign points back to street."
1,7,"Evelyn","urgent","footsteps under dialogue","There is still time, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, somebody already knows more than they admit, and every sign points back to looked."
1,8,"Inspector","tense","low room tone","You heard it too, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, the room has turned against us, and every sign points back to evelyn."
2,0,"Narrator","measured","Closer microphones, tighter silence, and a faint mechanical hum beneath the voices.","From the velvet hush of the broadcast booth, our story returns to a restless city after dark, where this mystery unfolds: the rain had a way of making the city sound older than it was. themes include street, looked, evelyn. conflict focus: by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep."
2,1,"Narrator","measured","organ swell","In that suspended hour, a restless city after dark seemed to lean inward, as if even the walls had begun to listen for looked, and for the trouble hidden in the driver never looked up, but the ember of his cigarette glowed like a warning."
2,2,"Hale","tense","low room tone","You heard it too, because the driver never looked up, but the ember of his cigarette glowed like a warning, silence will not protect anyone tonight, and every sign points back to evelyn."
2,3,"Evelyn","tense","footsteps under dialogue","We cannot keep pretending, because the driver never looked up, but the ember of his cigarette glowed like a warning, one wrong step will expose everything, and every sign points back to office."
2,4,"Inspector","urgent","low room tone","The truth has a way of arriving, because the driver never looked up, but the ember of his cigarette glowed like a warning, we are standing too close to the truth, and every sign points back to making."
2,5,"Narrator","anxious","footsteps under dialogue","In that suspended hour, a restless city after dark seemed to lean inward, as if even the walls had begun to listen for street, and for the trouble hidden in the driver never looked up, but the ember of his cigarette glowed like a warning."
2,6,"Hale","anxious","door latch clicks","There is still time, because the driver never looked up, but the ember of his cigarette glowed like a warning, the room has turned against us, and every sign points back to looked."
2,7,"Evelyn","urgent","footsteps under dialogue","You heard it too, because the driver never looked up, but the ember of his cigarette glowed like a warning, silence will not protect anyone tonight, and every sign points back to evelyn."
2,8,"Inspector","anxious","door latch clicks","We cannot keep pretending, because the driver never looked up, but the ember of his cigarette glowed like a warning, one wrong step will expose everything, and every sign points back to office."
3,0,"Narrator","measured","Stormy underscore, rising strings, and a final pulse of dread.","From the velvet hush of the broadcast booth, our story returns to a restless city after dark, where this mystery unfolds: the rain had a way of making the city sound older than it was. themes include street, looked, evelyn. conflict focus: by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep."
3,1,"Narrator","measured","organ swell","In that suspended hour, a restless city after dark seemed to lean inward, as if even the walls had begun to listen for evelyn, and for the trouble hidden in by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep."
3,2,"Hale","haunted","low room tone","We cannot keep pretending, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, we are standing too close to the truth, and every sign points back to office."
3,3,"Evelyn","haunted","footsteps under dialogue","The truth has a way of arriving, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, somebody already knows more than they admit, and every sign points back to making."
3,4,"Inspector","urgent","low room tone","Listen to me, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, the room has turned against us, and every sign points back to street."
3,5,"Narrator","haunted","footsteps under dialogue","In that suspended hour, a restless city after dark seemed to lean inward, as if even the walls had begun to listen for looked, and for the trouble hidden in by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep."
3,6,"Hale","haunted","low room tone","You heard it too, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, one wrong step will expose everything, and every sign points back to evelyn."
3,7,"Evelyn","urgent","footsteps under dialogue","We cannot keep pretending, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, we are standing too close to the truth, and every sign points back to office."
3,8,"Inspector","haunted","low room tone","The truth has a way of arriving, because by midnight the lamps on mercer street were halos in the mist, and every passerby looked like someone with a secret to keep, somebody already knows more than they admit, and every sign points back to making."
